,title,desc,date,datetime,link,img,media,site
65,Microsoft launches new tool for enhanced ad revenue analytics,,6 days ago,2023-11-28 07:16:16.477178,news.google.com/articles/CBMiTWh0dHBzOi8vc2VhcmNoZW5naW5lbGFuZC5jb20vbWljcm9zb2Z0LW1vbmV0aXplLWluc2lnaHRzLW5ldy1kYXNoYm9hcmQtNDM1MDY40gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/4VJnwrMg17lz_wUDcnj1RFjlsKkSOQF9GS30KRd2b4me-1LM3OTJ3HBPcDJ5hxxLT0R7M6tyMhexBNfYWMB04H5JqxzG2IXeMPVYUO1XeWkB8Uykr6AF88JhfQRWB3V_oN9m4tOabQ=s0-w200-h112-dcAcOIMM0D,Search Engine Land,
66,Microsoft Aims To Deliver 'Confidential AI' in Partnership with Nvidia,,4 days ago,2023-11-30 07:16:16.478032,news.google.com/articles/CBMiRWh0dHBzOi8vcmVkbW9uZG1hZy5jb20vYXJ0aWNsZXMvMjAyMy8xMS8zMC9henVyZS1jb25maWRlbnRpYWwtYWkuYXNweNIBAA?hl=en-US&gl=US&ceid=US%3Aen,,Redmondmag.com,
67,Key Congress staffers in AI debate are funded by tech giants like ...,,19 hours ago,2023-12-03 12:16:16.478947,news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjMvMTIvMDMvY29uZ3Jlc3MtYWktZmVsbG93cy10ZWNoLWNvbXBhbmllcy0wMDEyOTcwMdIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/W7TrZGOWkw6clbXo2Y9UvZT6nUidixC0nVGEpNBexueFz65NduyP9hbKVvSKyHHaFXDVOR7eEls7ug99qghTIs8MbHAZafiDSqWapOV8NiBdFbimZu8ck2eLL9cl3rzbRMWvPiArTljk6LImH_ySrVFRldQ-p7hssitFf6a8alkCKSDQf1azciJ_EvmClb7s-zGLm6K0b6Et6SncEt3mCrWYQJmcwjZMcuKpTmC852UXA1mFSJYhaIRUVi04Nfjs6WB182DXmn1zbDv3-VwWhzZFEXwH8Uriq0smX1M8JmnnQF7AihlmXByqvQk0_ANycfqD5jdyMrFge1Xv=s0-w200-h112-dcAVGK0aAI,POLITICO,
68,IBB Law selects Intapp Documents as part of wider Microsoft strategy,,5 days ago,2023-11-29 07:16:16.479860,news.google.com/articles/CBMibGh0dHBzOi8vbGVnYWx0ZWNobm9sb2d5LmNvbS8yMDIzLzExLzI5L2liYi1sYXctc2VsZWN0cy1pbnRhcHAtZG9jdW1lbnRzLWFzLXBhcnQtb2Ytd2lkZXItbWljcm9zb2Z0LXN0cmF0ZWd5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/vvdtf5z3X5ATyHnZfjiTxVs9e_qwuf8Zf1agenbL4t5KvZcGOswfBLZ1nQPBf26Ej_IyPDfy1s_rIIydUX-4J9yz1CnBknqKTQPRjjSck7EPS8C1p3yKE6vRZcA=s0-w200-h112-dckQKOUiEK,Legal IT Insider,
69,"Microsoft, Dell and Lenovo laptops vulnerable to Windows Hello ...",,Nov 27,,news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmNvbXB1dGluZy5jby51ay9uZXdzLzQxNTA1MDYvbWljcm9zb2Z0LWRlbGwtbGVub3ZvLWxhcHRvcHMtdnVsbmVyYWJsZS13aW5kb3dzLWhlbGxvLWF1dGhlbnRpY2F0aW9uLWZsYXfSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/AstajIzp_ERkuQtNIIjCIGB1ZL4nYJsZptleYRYggh23BUcRtYnmrt1jl58cIZxPZ5hbteb3FZsX2JTwvUprayXhUZju6gU6PADgxbzNBdIo7CZqTelbK0NrS24VTb0zMGTruToR9hRzqodClgazW5-vDAdt1bGnPCeKg_aPGIGVIHO4Xoml957LEX9CaRUScA70as9v=s0-w200-h112-dcAYGU1LAG,Computing,
70,Deal | Microsoft Xbox Series X gaming console drops to all-time low ...,,3 days ago,2023-12-01 07:16:16.481731,news.google.com/articles/CBMigwFodHRwczovL3d3dy5ub3RlYm9va2NoZWNrLm5ldC9EZWFsLU1pY3Jvc29mdC1YYm94LVNlcmllcy1YLWdhbWluZy1jb25zb2xlLWRyb3BzLXRvLWFsbC10aW1lLWxvdy10aGFua3MtdG8tMzAtZGlzY291bnQuNzc2Njc3LjAuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/xMWDQ42bdkh2j0UQkT0Mj2duI2AIhe3Puvov7S2Zh1uZn9bM7gFB6WVgtNV2dzPKG0OrmACfo1t_kD7N8GFnosPvfKvW9pcPfxI4xIjtB2VPOeLTetOwwLIwbBT5qXAfA_nbrSuGXumSPfnbm5LQlkBWYhaaab5FqCjzHVcFqSveyPAKroI=s0-w200-h112-dcATEQ,Notebookcheck.net,
71,2 Artificial Intelligence (AI) Stocks That Are Long-Term Buys,,12 hours ago,2023-12-03 19:16:16.482647,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIzLzEyLzAzLzItYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYWktc3RvY2tzLWxvbmctdGVybS1idXlzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/S2VOtfHtU2Vd_gZK6B9ni0osXtP3Wfx0_GLxwxRwzFPrpHPTR-09m9dj8aTEKD_ZZro_KjJrZ7eD1mxLwxVA4BOQ2hiyiA5T_PZ9SENzfnADf5pBTQ=s0-w200-h112-dcFVWMrakH,The Motley Fool,
72,Microsoft SharePoint Embedded launched for public preview as ...,,6 days ago,2023-11-28 07:16:16.483461,news.google.com/articles/CBMigwFodHRwczovL2xlZ2FsdGVjaG5vbG9neS5jb20vMjAyMy8xMS8yOC9taWNyb3NvZnQtc2hhcmVwb2ludC1lbWJlZGRlZC1sYXVuY2hlZC1mb3ItcHVibGljLXByZXZpZXctYXMtcGVwcGVybWludC11bnZlaWxzLWludGVncmF0aW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,,Legal IT Insider,
73,How to turn off Microsoft Word's text predictions,,6 days ago,2023-11-28 07:16:16.484369,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LnBjd29ybGQuY29tL2FydGljbGUvMjE1NjUyNy9ob3ctdG8tZGVhY3RpdmF0ZS10ZXh0LXByZWRpY3Rpb25zLWluLXdvcmQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/wylkRG2vSYwpE4YsIA6XBOa3acnLa3vJx3k4YPq7ZKcUtW0e8iccp5EGf9uX5amaRBq_hFvJ_RtUxOAm32Id0vQeZ2NuG5pRucTPy5u7SKgp5NoFtuR9xE1goffX4PIZh4xfhX5emTKQB-JeOyZKXVsCwGyVJvJdya0=s0-w200-h112-dcmYWSKbYG,PCWorld,
74,"The Zacks Analyst Blog Highlights Microsoft, Broadcom, Wells Fargo ...",,5 days ago,2023-11-29 07:16:16.485269,news.google.com/articles/CBMiVWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy96YWNrcy1hbmFseXN0LWJsb2ctaGlnaGxpZ2h0cy1taWNyb3NvZnQtMDkzODAwMTYzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/39i0HgjoLl955aynfzn0DGW_LcpDLTz9xtn0QNfAEePueyRjG8aYfbOWxpHRK1gVI_hIFKTKJX3a5H-p36POBWUJ7UPEft_WcuJFbfbRhgfFDSzrcTf6vbqeu3W5LFjPmD2yG7vYBQYxuyTkV4nGoEqatZKNsS-WIEvVzQZiyrluMap7iXzZduHcW4GvQohbfdZH4b2Gra5F96YFhNYI1zl7RMtI-YlSsWk73Kx9rrsQvNruGBzjlkLkVnMnSgA__ysfYoE=s0-w200-h112-dcpYKUja0H,Yahoo Finance,
